"","location_variable","driver_race","num_stops","num_searches","num_hits","search_rate","hit_rate"
"101","60","Hispanic",10823,308,27,0.0284579137023007,0.0876623376623377
"102","60","White",9040,189,25,0.0209070796460177,0.132275132275132
"103","61","Black",8667,286,13,0.0329987308180455,0.0454545454545455
"104","61","Hispanic",5430,123,10,0.0226519337016575,0.0813008130081301
"105","61","White",14322,326,28,0.0227621840525066,0.0858895705521472
"106","62","Black",1912,34,2,0.0177824267782427,0.0588235294117647
"107","62","Hispanic",7130,137,17,0.0192145862552595,0.124087591240876
"108","62","White",13081,150,25,0.0114670132252886,0.166666666666667
"109","63","Black",12467,428,61,0.0343306328707789,0.142523364485981
"110","63","Hispanic",1122,45,10,0.0401069518716578,0.222222222222222
"111","63","White",2107,68,10,0.0322733744660655,0.147058823529412
"112","66","Black",1949,121,12,0.0620831195484864,0.0991735537190083
"113","66","Hispanic",8793,414,21,0.0470829068577277,0.0507246376811594
"114","66","White",4120,200,5,0.0485436893203883,0.025
"115","67","Black",50615,2011,148,0.0397313049491258,0.0735952262555942
"116","67","Hispanic",1543,55,4,0.0356448476992871,0.0727272727272727
"117","67","White",494,11,2,0.0222672064777328,0.181818181818182
"118","68","Black",967,52,2,0.0537745604963806,0.0384615384615385
"119","68","Hispanic",4002,160,8,0.0399800099950025,0.05
"120","68","White",8031,349,16,0.0434566056530943,0.0458452722063037
"121","69","Black",27342,713,59,0.0260770975056689,0.0827489481065919
"122","69","Hispanic",1772,51,7,0.0287810383747178,0.137254901960784
"123","69","White",558,14,4,0.025089605734767,0.285714285714286
"124","70","Black",39226,1215,78,0.0309743537449651,0.0641975308641975
"125","70","Hispanic",9338,235,30,0.0251659884343543,0.127659574468085
"126","70","White",2240,54,10,0.0241071428571429,0.185185185185185
"127","71","Black",27136,445,55,0.0163988797169811,0.123595505617978
"128","71","Hispanic",1458,48,8,0.0329218106995885,0.166666666666667
"129","71","White",670,15,7,0.0223880597014925,0.466666666666667
"130","72","Black",2127,59,6,0.0277385989656794,0.101694915254237
"131","72","Hispanic",18884,489,60,0.0258949375132387,0.122699386503067
"132","72","White",1643,45,9,0.0273889227023737,0.2
"133","73","Black",98814,2881,284,0.0291557876414273,0.0985768830267268
"134","73","Hispanic",10860,385,84,0.035451197053407,0.218181818181818
"135","73","White",941,40,17,0.0425079702444208,0.425
"136","75","Black",103199,2911,165,0.0282076376709077,0.0566815527310203
"137","75","Hispanic",28901,793,63,0.0274384969378222,0.0794451450189155
"138","75","White",2081,57,3,0.0273906775588659,0.0526315789473684
"139","76","Black",11120,287,17,0.0258093525179856,0.0592334494773519
"140","76","Hispanic",8714,159,28,0.0182464998852421,0.176100628930818
"141","76","White",4439,56,11,0.0126154539310656,0.196428571428571
"142","77","Black",44096,1252,125,0.0283925979680697,0.0998402555910543
"143","77","Hispanic",3816,107,10,0.0280398322851153,0.0934579439252336
"144","77","White",1262,30,6,0.0237717908082409,0.2
"145","78","Black",6012,155,7,0.0257817697937458,0.0451612903225806
"146","78","Hispanic",5011,119,19,0.0237477549391339,0.159663865546218
"147","78","White",2293,44,1,0.0191888355865678,0.0227272727272727
"148","79","Black",66095,2132,142,0.032256600347984,0.0666041275797373
"149","79","Hispanic",11618,360,35,0.030986400413152,0.0972222222222222
"150","79","White",3234,104,20,0.0321583178726036,0.192307692307692
"151","81","Black",46264,1137,74,0.0245763444578938,0.0650835532102023
"152","81","Hispanic",4259,113,14,0.0265320497769429,0.123893805309735
"153","81","White",658,21,4,0.0319148936170213,0.19047619047619
"154","83","Black",19336,501,52,0.0259102192800993,0.103792415169661
"155","83","Hispanic",30098,707,77,0.023489932885906,0.108910891089109
"156","83","White",2443,60,21,0.024559967253377,0.35
"157","84","Black",13431,589,73,0.0438537711264984,0.123938879456706
"158","84","Hispanic",3827,183,36,0.0478181343088581,0.19672131147541
"159","84","White",2284,109,24,0.047723292469352,0.220183486238532
"160","88","Black",26065,828,65,0.0317667370036447,0.0785024154589372
"161","88","Hispanic",4527,146,12,0.032250938811575,0.0821917808219178
"162","88","White",2047,59,19,0.0288226673180264,0.322033898305085
"163","90","Black",20379,473,34,0.0232101673291133,0.0718816067653277
"164","90","Hispanic",31019,739,77,0.0238241078048938,0.104194857916103
"165","90","White",5874,131,33,0.0223016683690841,0.251908396946565
"166","94","Black",2344,103,8,0.0439419795221843,0.0776699029126214
"167","94","Hispanic",3529,168,18,0.0476055539812978,0.107142857142857
"168","94","White",3612,208,32,0.0575858250276855,0.153846153846154
"169","100","Black",11786,352,30,0.0298659426438147,0.0852272727272727
"170","100","Hispanic",3033,85,15,0.0280250576986482,0.176470588235294
"171","100","White",3322,67,6,0.0201685731487056,0.0895522388059701
"172","101","Black",42050,1764,61,0.0419500594530321,0.0345804988662132
"173","101","Hispanic",4165,184,14,0.0441776710684274,0.0760869565217391
"174","101","White",619,28,4,0.0452342487883683,0.142857142857143
"175","102","Black",7559,239,25,0.0316179388808043,0.104602510460251
"176","102","Hispanic",17708,580,65,0.0327535577140276,0.112068965517241
"177","102","White",3433,131,15,0.0381590445674337,0.114503816793893
"178","103","Black",49070,1843,176,0.0375585897697167,0.0954964731416169
"179","103","Hispanic",12391,508,81,0.0409974981841659,0.159448818897638
"180","103","White",1523,80,22,0.0525279054497702,0.275
"181","104","Black",3328,39,3,0.01171875,0.0769230769230769
"182","104","Hispanic",19767,247,42,0.0124955734304649,0.17004048582996
"183","104","White",9687,99,14,0.0102198823165067,0.141414141414141
"184","105","Black",30670,1060,121,0.0345614607107923,0.114150943396226
"185","105","Hispanic",4264,118,9,0.0276735459662289,0.076271186440678
"186","105","White",2096,96,7,0.0458015267175573,0.0729166666666667
"187","106","Black",11880,264,18,0.0222222222222222,0.0681818181818182
"188","106","Hispanic",7645,190,22,0.0248528449967299,0.115789473684211
"189","106","White",3468,79,12,0.0227797001153403,0.151898734177215
"190","107","Black",12758,281,23,0.0220253958300674,0.0818505338078292
"191","107","Hispanic",7024,131,16,0.0186503416856492,0.122137404580153
"192","107","White",3990,72,8,0.0180451127819549,0.111111111111111
"193","108","Black",3474,126,7,0.0362694300518135,0.0555555555555556
"194","108","Hispanic",16408,317,22,0.019319843978547,0.0694006309148265
"195","108","White",5179,129,28,0.0249082834524039,0.217054263565891
"196","109","Black",8480,194,12,0.022877358490566,0.0618556701030928
"197","109","Hispanic",24299,411,25,0.016914276307667,0.0608272506082725
"198","109","White",7519,153,17,0.020348450591834,0.111111111111111
"199","110","Black",4215,162,20,0.0384341637010676,0.123456790123457
"200","110","Hispanic",45942,956,71,0.0208088459361804,0.0742677824267782
"201","110","White",2040,48,9,0.0235294117647059,0.1875
"202","111","Black",3498,84,2,0.0240137221269297,0.0238095238095238
"203","111","Hispanic",5988,134,14,0.022378089512358,0.104477611940299
"204","111","White",7414,165,25,0.0222551928783383,0.151515151515152
"205","112","Black",2888,86,10,0.0297783933518006,0.116279069767442
"206","112","Hispanic",4711,81,10,0.0171938017406071,0.123456790123457
"207","112","White",5928,121,13,0.0204116059379217,0.107438016528926
"208","113","Black",43444,1439,117,0.0331231010035908,0.0813064628214037
"209","113","Hispanic",2960,67,4,0.0226351351351351,0.0597014925373134
"210","113","White",672,15,0,0.0223214285714286,0
"211","114","Black",18244,441,13,0.024172330629248,0.0294784580498866
"212","114","Hispanic",18683,431,26,0.0230691002515656,0.0603248259860789
"213","114","White",9344,226,15,0.0241866438356164,0.0663716814159292
"214","115","Black",5581,210,16,0.0376276652929583,0.0761904761904762
"215","115","Hispanic",51156,1556,81,0.0304167644069122,0.0520565552699229
"216","115","White",2254,98,7,0.0434782608695652,0.0714285714285714
"217","120","Black",47821,1336,90,0.0279375169904435,0.0673652694610778
"218","120","Hispanic",21461,607,52,0.028283863752854,0.085667215815486
"219","120","White",13633,375,42,0.0275067850069684,0.112
"220","122","Black",5515,82,6,0.014868540344515,0.0731707317073171
"221","122","Hispanic",6495,57,9,0.00877598152424942,0.157894736842105
"222","122","White",24322,220,29,0.00904530877394951,0.131818181818182
"223","123","Black",573,11,1,0.0191972076788831,0.0909090909090909
"224","123","Hispanic",1131,29,2,0.0256410256410256,0.0689655172413793
"225","123","White",10746,149,15,0.0138656244183882,0.100671140939597
